name,description,stars,language,forks,url,created_at,updated_at,open_issues,default_branch,contributors_count,commits_count,topics,watchers,size,has_wiki,has_projects,has_issues,has_pages,releases_count,language_detected,package.json,package-lock.json,composer.json,composer.lock,vite.config.js,angular.json,tsconfig.json,babel.config.js,postcss.config.js,vue.config.js,category
FE-Driver/vue-beauty,Beautiful  UI components build with vue and ant design,2112,JavaScript,248,https://github.com/FE-Driver/vue-beauty,2016-08-08,2024-10-07,63,next,18,584,"['components', 'vue', 'vue-beauty', 'javascript', 'vue-components', 'ui-kit', 'ui-design']",2112,29780,True,True,True,True,21,en,True,True,False,False,False,False,False,False,False,False,Componente UX
DevCloudFE/ng-devui,Angular UI Component Library based on DevUI Design,1747,TypeScript,211,https://github.com/DevCloudFE/ng-devui,2019-06-12,2024-10-11,105,master,26,86,"['devui', 'angular', 'typescript', 'frontend', 'angular-components', 'ivy', 'ui-components', 'enterprise', 'angular-ui-components', 'ngx', 'gantt', 'angular12']",1747,15816,True,True,True,False,39,en,True,False,False,False,False,True,True,False,False,False,Componente UX
creativetimofficial/now-ui-kit,Now UI Kit Bootstrap 4 - Designed by Invision. Coded by Creative Tim,1701,CSS,380,https://github.com/creativetimofficial/now-ui-kit,2017-05-11,2024-10-07,19,master,10,72,"['bootstrap4', 'kit', 'invision', 'uikit', 'ui-kit', 'bootstrap-4', 'bootstrap-theme', 'freebie', 'sass-framework']",1701,63819,True,True,True,True,3,en,True,False,False,False,False,False,False,False,False,False,Componente UX
franken-ui/ui,"Franken UI is an HTML-first, open-source library of UI components that works as a standalone or as a Tailwind CSS plugin. It is compatible with UIkit 3. The design is influenced by shadcn/ui.",1651,TypeScript,21,https://github.com/franken-ui/ui,2024-03-16,2024-10-12,5,master,1,79,"['component', 'css', 'design-system', 'framework', 'shadcn', 'shadcn-ui', 'tailwind', 'tailwindcss', 'ui', 'uikit']",1651,492,False,True,True,False,0,en,True,True,False,False,False,False,True,False,False,False,Componente UX
cschroeter/park-ui,Beautifully designed components built with Ark UI and Panda CSS that work with a variety of JS frameworks.,1643,TypeScript,72,https://github.com/cschroeter/park-ui,2023-08-02,2024-10-12,35,main,28,930,[],1643,17627,False,True,True,False,42,en,True,False,False,False,False,False,False,False,False,False,Componente UX
adrianhajdin/brainwave,Learn to create modern websites with sleek parallax effects and bento box layouts. This course covers everything from stylish UI design to mobile-first principles while strengthening your React.js and Tailwind CSS skills.,1465,JavaScript,434,https://github.com/adrianhajdin/brainwave,2024-03-01,2024-10-12,27,main,1,4,"['reactjs', 'tailwindcss']",1465,11334,True,True,True,False,0,en,True,True,False,False,True,False,False,False,True,False,Componente UX
mdbootstrap/mdb-react-ui-kit,React 18 & Bootstrap 5 & Material Design 2.0 UI KIT,1413,TypeScript,262,https://github.com/mdbootstrap/mdb-react-ui-kit,2017-09-07,2024-10-12,4,master,12,250,"['bootstrap', 'react', 'javascript', 'material-design', 'reactjs', 'bootstrap4', 'design', 'material-design-for-bootstrap', 'uikit', 'css', 'html', 'library', 'material', 'react-components', 'scss', 'ui-kit', 'mdbootstrap', 'react17', 'bootstrap5']",1413,11885,True,True,True,False,37,en,True,False,False,False,False,False,False,False,False,False,Componente UX
inkline/inkline,"Inkline is the intuitive UI Components library that gives you a developer-friendly foundation for building high-quality, accessible, and customizable Vue.js 3 Design Systems.",1395,TypeScript,77,https://github.com/inkline/inkline,2018-02-07,2024-10-11,43,main,22,3173,"['inkline', 'ui', 'ux', 'framework', 'vue', 'sass', 'library', 'vuejs', 'vue3', 'css', 'javascript', 'dx']",1395,108860,True,True,True,False,237,en,True,False,False,False,False,False,False,False,False,False,Componente UX
lmsqueezy/wedges,"An ever-expanding, open-source React UI library built with the Wedges Design System, Radix primitives, and Tailwind CSS.",1359,TypeScript,53,https://github.com/lmsqueezy/wedges,2023-08-07,2024-10-10,2,main,7,198,"['components', 'lemon-squeezy', 'radix-ui', 'react', 'tailwindcss', 'ui', 'accessible-components']",1359,2732,False,True,True,False,11,en,True,False,False,False,False,False,True,False,False,False,Componente UX
StaticMania/keep-react,Keep React is an open-source component library built on Tailwind CSS and React.js. It provides a versatile set of pre-designed UI components to build modern web applications.,1328,TypeScript,113,https://github.com/StaticMania/keep-react,2023-07-27,2024-10-10,2,main,15,88,"['component-library', 'components', 'design-systems', 'react', 'reactjs', 'tailwindcss', 'typescript', 'keep-react']",1328,6007,False,True,True,False,8,en,True,False,False,False,False,False,True,False,True,False,Componente UX
