Plugin,Frequency
babel-plugin-transform-runtime,21
babel-plugin-transform-vue-jsx,12
babel-preset-es2015-rollup,2
babel-preset-stage-2,18
eslint-config-vue,2
jest-cli,6
jest-css-modules,1
jest-serializer-html,2
parcel-bundler,4
parcel-plugin-vue,1
postcss-import,18
postcss-modules,5
postcss-url,7
rollup,91
rollup-plugin-babel,17
rollup-plugin-commonjs,17
rollup-plugin-node-resolve,18
rollup-plugin-postcss,14
rollup-plugin-replace,14
rollup-plugin-uglify,10
typeface-roboto,3
vue-jest,9
vue-template-compiler,41
@angular/fire,1
eva-icons,1
firebase,6
highlight.js,23
pace-js,1
rxfire,1
@eslint/eslintrc,6
@eslint/js,10
@types/highlight.js,1
@types/jasminewd2,7
angular-cli-ghpages,4
browserstack-local,1
colors.js,1
eslint-plugin-rxjs,2
globals,10
gulp-sass,20
jasmine-fail-fast,1
karma-browserstack-launcher,3
protractor,11
eslint-config-airbnb,55
pre-commit,8
gulp-autoprefixer,14
gulp-install,2
gulp-open,3
antblazor.js-ts.tests,1
@types/es6-promise,1
antd-theme-generator,2
babel-preset-es2015,27
babelify,2
browserify,8
eslint-config-semistandard,1
eslint-config-standard,28
eslint-plugin-n,14
eslint-plugin-promise,42
gulp-clean-css,15
gulp-uglify,9
inquirer,21
tsify,1
vinyl-buffer,3
vinyl-source-stream,3
archiver,4
ase-utils,1
handlebars,8
uuid,30
@arco-design/color,1
b-tween,1
b-validate,1
compute-scroll-into-view,1
number-precision,2
react-focus-lock,1
react-is,15
react-transition-group,20
shallowequal,4
@testing-library/react-hooks,15
@types/enzyme,12
@types/shallowequal,1
arco-scripts,1
eslint-plugin-babel,11
eslint-plugin-tsdoc,4
moment-timezone,5
nunjucks,1
playwright,8
postcss-less,5
eslint-plugin-react-compiler,2
stylelint-value-no-unknown-custom-properties,1
@axe-core/playwright,2
@babel/node,7
@babel/plugin-transform-react-jsx,5
@babel/plugin-transform-react-jsx-self,1
@babel/register,18
@netlify/plugin-nextjs,2
@next/eslint-plugin-next,7
@playwright/test,16
@rollup/plugin-commonjs,46
@rollup/plugin-json,20
@rollup/plugin-node-resolve,53
@rollup/plugin-replace,31
@rollup/plugin-typescript,18
@types/jscodeshift,2
@types/react-datepicker,1
@types/ua-parser-js,2
acorn-jsx,1
axe-core,8
babel-plugin-inline-react-svg,2
blueimp-md5,3
enhanced-resolve,1
eslint-plugin-eslint-comments,4
eslint-plugin-gestalt,1
eslint-plugin-playwright,4
eslint-plugin-simple-import-sort,11
eslint-plugin-testing-library,9
