name,Plugins
d3ward/toolz,"['@babel/core', '@babel/preset-env', 'babel-loader', 'clean-webpack-plugin', 'copy-webpack-plugin', 'css-loader', 'css-minimizer-webpack-plugin', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'eslint-webpack-plugin', 'file-loader', 'glob', 'glob-all', 'html-loader', 'html-webpack-plugin', 'mini-css-extract-plugin', 'node-sass', 'postcss', 'prettier', 'purgecss-webpack-plugin', 'reachable-url', 'sass', 'sass-loader', 'style-loader', 'webpack-dev-server', 'webpack-merge', 'ejs', 'template-ejs-loader', 'webpack', 'webpack-cli']"
dyo/dyo,"['dyo', 'chai', 'eslint', 'esm', 'jsdom', 'mocha', 'nyc', 'rollup', 'rollup-plugin-terser', 'rollup-plugin-size']"
zircleUI/zircleUI,"['vue', '@babel/eslint-parser', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/eslint-config-standard', '@vue/test-utils', '@vue/vue2-jest', 'babel-core', 'babel-jest', 'eslint', 'eslint-plugin-vue', 'jsdom-global', 'sass', 'sass-loader', 'vue-template-compiler']"
dec0dOS/zero-ui,"['@commitlint/cli', '@commitlint/config-conventional', 'commitizen', 'concurrently', 'cross-env', 'cz-conventional-changelog', 'husky', 'lint-staged', 'nodemon', 'prettier', 'rimraf', 'standard-version']"
garbles/yolk,"['cuid', 'dift', 'dom-delegator', 'ev-store', 'global', 'individual', 'is-observable', 'parse-tag', 'rxjs', 'babel-cli', 'babel-eslint', 'babel-loader', 'babel-plugin-transform-flow-comments', 'babel-preset-es2015', 'babel-preset-stage-0', 'chai', 'eslint', 'eslint-config-airbnb', 'eslint-loader', 'eslint-plugin-react', 'flow-bin', 'istanbul-instrumenter-loader', 'jquery', 'karma', 'karma-chai', 'karma-chrome-launcher', 'karma-coverage', 'karma-firefox-launcher', 'karma-growl-reporter', 'karma-mocha', 'karma-mocha-reporter', 'karma-sourcemap-loader', 'karma-webpack', 'mocha', 'sinon', 'webpack']"
eduardolat/pgbackweb,"['daisyui', 'esbuild', 'standard', 'tailwindcss']"
elix/elix,"['@types/chai', '@types/mocha', '@types/sinon', 'chai', 'eslint', 'express', 'get-port', 'mocha', 'node-fetch', 'puppeteer', 'sinon', 'typescript']"
rphlr/42-Evals,"['@headlessui/react', '@heroicons/react', '@prisma/client', '@vercel/analytics', '@vercel/speed-insights', 'install', 'jodit-react', 'next', 'npm', 'prisma', 'react', 'react-dom', 'react-hook-form', 'recharts', 'sweetalert2', 'sweetalert2-react-content', '@types/node', '@types/react', '@types/react-dom', 'daisyui', 'postcss', 'tailwindcss', 'typescript']"
nextapps-de/mikado,"['html2json', 'babel-cli', 'babel-plugin-conditional-compile', 'babel-plugin-minify-constant-folding', 'babel-plugin-minify-dead-code-elimination', 'babel-plugin-minify-flip-comparisons', 'babel-plugin-minify-guarded-expressions', 'babel-plugin-minify-infinity', 'babel-plugin-minify-mangle-names', 'babel-plugin-minify-replace', 'babel-plugin-minify-simplify', 'babel-plugin-minify-type-constructors', 'babel-plugin-transform-member-expression-literals', 'babel-plugin-transform-merge-sibling-variables', 'babel-plugin-transform-minify-booleans', 'babel-plugin-transform-property-literals', 'babel-plugin-transform-simplify-comparison-operators', 'babel-plugin-transform-undefined-to-void', 'google-closure-compiler']"
grammarly/focal,"['@types/react', '@types/react-dom', '@changesets/cli', '@typescript-eslint/eslint-plugin', '@typescript-eslint/eslint-plugin-tslint', '@typescript-eslint/parser', 'eslint', 'eslint-plugin-jsdoc', 'eslint-plugin-react', 'typescript']"
pengxiaotian/datav-vue,"['@monaco-editor/loader', '@vueuse/core', 'accounting', 'axios', 'axios-mock-adapter', 'crypto-js', 'dayjs', 'echarts', 'echarts-wordcloud', 'element-plus', 'gsap', 'html2canvas', 'js-cookie', 'lodash-es', 'mockjs', 'monaco-editor', 'naive-ui', 'number-precision', 'particles.vue3', 'pinia', 'shortid', 'tsparticles', 'vue', 'vue-echarts', 'vue-i18n', 'vue-router', '@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@commitlint/cli', '@commitlint/config-conventional', '@types/accounting', '@types/crypto-js', '@types/lodash-es', '@types/mockjs', '@types/shortid', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-vue', '@vue/compiler-sfc', '@vue/component-compiler-utils', '@vue/runtime-core', 'cross-env', 'eslint', 'eslint-plugin-import', 'eslint-plugin-vue', 'husky', 'lint-staged', 'plop', 'postcss', 'postcss-html', 'postcss-scss', 'rimraf', 'sass', 'stylelint', 'stylelint-config-prettier', 'stylelint-config-standard', 'tslib', 'typescript', 'unplugin-element-plus', 'vite', 'vite-plugin-plain-text', 'vue-tsc']"
phibr0/obsidian-commander,"['array-move', 'canvas-confetti', 'preact', '@codemirror/autocomplete', '@codemirror/commands', '@codemirror/lang-css', '@codemirror/lang-html', '@codemirror/language', '@codemirror/lint', '@codemirror/search', '@codemirror/state', '@codemirror/view', '@types/canvas-confetti', '@types/node', '@types/react', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'builtin-modules', 'codemirror', 'codemirror6-themes', 'esbuild', 'esbuild-plugin-alias', 'esbuild-sass-plugin', 'node-fetch', 'npm-run-all', 'obsidian', 'tailwindcss', 'tslib', 'typescript']"
neo4j/neo4j-browser,"['@apollo/client', '@heroicons/react', '@juggle/resize-observer', '@neo4j-cypher/antlr4', '@neo4j-cypher/editor-support', '@neo4j-cypher/extract-statements', '@neo4j-devtools/word-color', '@neo4j-ndl/base', '@neo4j-ndl/react', '@neo4j/browser-lambda-parser', '@sentry/integrations', '@sentry/react', '@sentry/tracing', 'apollo-upload-client', 'ascii-data-table', 'canvg', 'core-js', 'd3-color', 'd3-drag', 'd3-ease', 'd3-force', 'd3-scale', 'd3-selection', 'd3-shape', 'd3-transition', 'd3-zoom', 'deepmerge', 'file-saver', 'firebase', 'graphql', 'isomorphic-fetch', 'jsonic', 'jszip', 'lodash-es', 'memoize-one', 'monaco-editor', 'neo4j-client-sso', 'neo4j-driver', 'neo4j-driver-core', 're-resizable', 'react', 'react-dnd', 'react-dnd-html5-backend', 'react-dom', 'react-is', 'react-markdown', 'react-redux', 'react-suber', 'react-svg-inline', 'react-table', 'react-timeago', 'redux', 'redux-observable', 'regenerator-runtime', 'remark-gfm', 'rxjs', 'semantic-ui-react', 'semver', 'styled-components', 'suber', 'uuid', 'whatwg-url', '@babel/core', '@babel/plugin-proposal-class-properties', '@babel/plugin-transform-regenerator', '@babel/preset-env', '@babel/preset-react', '@hot-loader/react-dom', '@pmmmwh/react-refresh-webpack-plugin', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/react-hooks', '@types/apollo-upload-client', '@types/d3-color', '@types/d3-drag', '@types/d3-ease', '@types/d3-force', '@types/d3-scale', '@types/d3-selection', '@types/d3-shape', '@types/d3-transition', '@types/d3-zoom', '@types/dateformat', '@types/file-saver', '@types/jest', '@types/jsonic', '@types/lodash-es', '@types/react', '@types/react-dom', '@types/react-redux', '@types/react-svg-inline', '@types/react-table', '@types/redux-mock-store', '@types/semver', '@types/styled-components', '@types/uuid', '@types/whatwg-url', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'autoprefixer', 'babel-eslint', 'babel-jest', 'babel-loader', 'babel-plugin-dynamic-import-node', 'babel-plugin-module-resolver', 'babel-plugin-transform-react-jsx', 'babel-runtime', 'clean-webpack-plugin', 'copy-webpack-plugin', 'cross-env', 'css-loader', 'cypress', 'eslint', 'eslint-config-prettier', 'eslint-plugin-jsx', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-import', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'express', 'file-loader', 'fork-ts-checker-notifier-webpack-plugin', 'fork-ts-checker-webpack-plugin', 'html-loader', 'html-webpack-plugin', 'husky', 'jest', 'jest-canvas-mock', 'js2xmlparser', 'json-loader', 'lint-staged', 'mini-css-extract-plugin', 'mockdate', 'monaco-editor-webpack-plugin', 'ncp', 'nock', 'postcss', 'postcss-loader', 'postcss-preset-env', 'precss', 'prettier-eslint', 'prettier-eslint-cli', 'raf', 'raw-loader', 'react-hot-loader', 'react-refresh', 'react-test-renderer', 'redux-mock-store', 'style-loader', 'ts-jest', 'ts-loader', 'typescript', 'typescript-plugin-styled-components', 'url-loader', 'wait-on', 'webpack', 'webpack-bundle-analyzer', 'webpack-cli', 'webpack-dev-server', 'worker-loader', 'xml2js']"
MishanPoudel/Windows11-3.0,"['@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', '@vercel/analytics', '@vercel/speed-insights', 'devicons-react', 'framer-motion', 'react', 'react-dom', 'react-draggable', 'react-icons', 'react-router-dom', 'react-scripts', 'web-vitals', 'daisyui', 'tailwindcss']"
MohmmedAshraf/laravel-translations,"['@headlessui/vue', '@heroicons/vue', '@inertiajs/vue3', '@tailwindcss/forms', '@types/lodash', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-vue', '@vue/server-renderer', '@vueuse/components', '@vueuse/core', 'autoprefixer', 'axios', 'country-code-emoji', 'eslint', 'eslint-config-prettier', 'eslint-plugin-tailwindcss', 'eslint-plugin-unused-imports', 'eslint-plugin-vue', 'floating-vue', 'laravel-vite-plugin', 'lodash', 'mitt', 'momentum-modal', 'os', 'path', 'postcss', 'postcss-nesting', 'prettier', 'prettier-plugin-tailwindcss', 'sass', 'tailwindcss', 'twemoji', 'typescript', 'unplugin-auto-import', 'unplugin-vue-components', 'unplugin-vue-define-options', 'vite', 'vite-plugin-eslint', 'vite-plugin-watch', 'vue', 'vue-select', 'vue-toastification', 'vue-tsc', 'vue3-tabs-component', 'ziggy-js']"
ekvedaras/redis-gui,"['@meforma/vue-toaster', 'custom-electron-titlebar', 'dayjs', 'electron-updater', 'floating-vue', 'lodash', 'lowdb', 'mitt', 'pinia', 'pretty-bytes', 'redis', 'splitpanes', 'ssh2', 'vue', 'vue-clipboard3', 'vue-json-pretty', 'vue-universal-modal', 'vue3-shortkey', '@types/electron-devtools-installer', '@types/lodash', '@types/splitpanes', '@types/ssh2', '@types/node_redis', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-vue', '@vue/test-utils', 'autoprefixer', 'cross-env', 'electron', 'electron-builder', 'electron-devtools-installer', 'eslint', 'eslint-plugin-vue', 'happy-dom', 'nano-staged', 'playwright', 'postcss', 'postcss-import', 'simple-git-hooks', 'tailwindcss', 'typescript', 'vite', 'vitest', 'vue-tsc']"
shamansir/rpd,"['d3-selection', 'kefir', 'del', 'flow-bin', 'google-closure-compiler', 'gulp', 'gulp-closure-compiler', 'gulp-concat', 'gulp-download', 'gulp-file-parser', 'gulp-flowcheck', 'gulp-front-matter', 'gulp-gzip', 'gulp-header', 'gulp-layout', 'gulp-markdown', 'gulp-rename', 'gulp-size', 'gulp-util', 'gulp-watch', 'jasmine', 'jasmine-core', 'karma', 'karma-chrome-launcher', 'karma-jasmine', 'karma-mocha-reporter', 'karma-nyan-reporter', 'through2', 'yargs']"
bem/bem-react,"['@commitlint/cli', '@commitlint/config-conventional', '@types/jest', '@types/react', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'chalk', 'eslint', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'gzip-size', 'husky', 'jest', 'jest-environment-jsdom', '@testing-library/react', 'lerna', 'lint-staged', 'prettier', 'pretty-bytes', 'react', 'react-dom', 'rollup', 'rollup-plugin-node-resolve', 'rollup-plugin-replace', 'rollup-plugin-strip-banner', 'rollup-plugin-terser', 'rollup-plugin-typescript2', 'ts-jest', 'typescript', 'tslib']"
Famous/framework,"['async', 'babel', 'brfs', 'browserify', 'chokidar', 'clone', 'commander', 'escodegen', 'esprima', 'estraverse', 'express', 'famous', 'jsdom', 'livereload', 'lodash.assign', 'lodash.clone', 'lodash.debounce', 'lodash.defaults', 'lodash.filter', 'lodash.find', 'lodash.first', 'lodash.foreach', 'lodash.last', 'lodash.map', 'lodash.pairs', 'lodash.uniq', 'mkdirp', 'ncp', 'pubsub-js', 'recursive-readdir', 'rimraf', 'watchify', 'babel-eslint', 'eslint', 'jsdoc', 'smokestack', 'tap-closer', 'tape']"
Authman2/Mosaic,"['parcel-bundler', 'typescript']"
solidjs-community/solid-aria,"['@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@changesets/cli', '@commitlint/cli', '@commitlint/config-conventional', '@commitlint/cz-commitlint', '@solid-primitives/event-listener', '@solid-primitives/keyed', '@solid-primitives/props', '@solid-primitives/utils', '@testing-library/dom', '@testing-library/jest-dom', '@testing-library/user-event', '@types/jest', '@types/node', '@types/testing-library__jest-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'babel-preset-solid', 'commitizen', 'eslint', 'eslint-config-prettier', 'eslint-import-resolver-typescript', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-simple-import-sort', 'eslint-plugin-solid', 'husky', 'inquirer', 'jest', 'lint-staged', 'prettier', 'rollup', 'rollup-preset-solid', 'solid-js', 'solid-testing-library', 'sort-package-json', 'ts-jest', 'tsup', 'turbo', 'typescript', 'vite', 'vite-plugin-solid']"
arunbandari/mongo-gui,"['base-64', 'body-parser', 'bson', 'connect-gzip-static', 'cors', 'dotenv', 'express', 'minimist', 'mongodb', 'openai']"
rdub80/aframe-gui,"['babel-cli', 'babel-core', 'babel-loader', 'babel-preset-es2015', 'minifier', 'uglify-js', 'webpack', 'webpack-dev-server']"
kor-ui/kor,"['lit', 'copy-webpack-plugin', 'html-webpack-plugin', 'lerna', 'terser-webpack-plugin', 'ts-loader', 'typescript', 'webpack', 'webpack-cli', 'webpack-dev-server']"
obsfx/libgen-downloader,"['content-disposition', 'figures', 'filesize', 'ink', 'ink-spinner', 'ink-text-input', 'jsdom', 'meow', 'node-fetch', 'react', 'zustand', '@types/content-disposition', '@types/jsdom', '@types/node', '@types/node-fetch', '@types/react', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'pkg', 'prettier', 'react-devtools', 'rimraf', 'ts-node', 'typescript']"
ioanmo226/chatgpt-web-application,"['cors', 'dotenv', 'express', 'multer', 'openai', 'uuid']"
wfp/designsystem,"['@carbon/import-once', 'invariant', 'react-popper-tooltip', 'sass', 'storybook-addon-designs', 'warning', 'window-or-global', '@babel/plugin-proposal-decorators', '@babel/plugin-proposal-do-expressions', '@babel/plugin-proposal-export-default-from', '@babel/plugin-proposal-export-namespace-from', '@babel/plugin-proposal-function-sent', '@babel/plugin-proposal-logical-assignment-operators', '@babel/plugin-proposal-pipeline-operator', '@babel/plugin-proposal-throw-expressions', '@babel/plugin-syntax-export-default-from', '@babel/plugin-syntax-import-meta', '@popperjs/core', '@semantic-release/commit-analyzer', '@semantic-release/exec', '@semantic-release/git', '@semantic-release/npm', '@semantic-release/release-notes-generator', '@storybook/addon-a11y', '@storybook/addon-actions', '@storybook/addon-backgrounds', '@storybook/addon-controls', '@storybook/addon-cssresources', '@storybook/addon-docs', '@storybook/addon-links', '@storybook/addon-toolbars', '@storybook/addon-viewport', '@storybook/addons', '@storybook/builder-webpack5', '@storybook/react', '@storybook/theming', '@tippy.js/react', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@wfp/icons', 'add', 'all-contributors-cli', 'autoprefixer', 'babel-eslint', 'babel-loader', 'babel-plugin-dev-expression', 'browserslist-config-carbon', 'classnames', 'clean-webpack-plugin', 'core-js', 'css-loader', 'enzyme', 'enzyme-adapter-react-16', 'enzyme-to-json', 'eslint', 'eslint-config-react-app', 'eslint-loader', 'eslint-plugin-flowtype', 'eslint-plugin-import', 'eslint-plugin-jsdoc', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'extract-text-webpack-plugin', 'fast-sass-loader', 'file-loader', 'final-form', 'flexboxgrid', 'fuse.js', 'generic-names', 'gzip-size', 'handlebars', 'jest', 'lint-staged', 'lodash.debounce', 'lodash.isequal', 'lodash.omit', 'mini-css-extract-plugin', 'moment', 'object-assign', 'postcss', 'postcss-cli', 'postcss-loader', 'prettier', 'pretty', 'prismjs', 'promise', 'prop-types', 'raw-loader', 'react', 'react-dates', 'react-dom', 'react-dropzone', 'react-final-form', 'react-hook-form', 'react-is', 'react-markdown', 'react-popper', 'react-prism', 'react-redux', 'react-select', 'react-table', 'react-toastify', 'react-truncate', 'recharts', 'redux-form', 'redux-form-website-template', 'requestanimationframe', 'rimraf', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-node-resolve', 'rollup-plugin-replace', 'rollup-plugin-strip-banner', 'rollup-plugin-terser', 'sass-loader', 'semantic-release', 'semantic-release-ado', 'story-description-loader', 'style-loader', 'terser-webpack-plugin', 'twig', 'validate-commit-msg', 'wcag-contrast', 'webpack', 'webpack-cli', 'whatwg-fetch', 'xml2js']"
sauzy34/react-native-multi-selectbox,"['lodash', 'react', 'react-native', 'react-native-multi-selectbox', 'react-native-svg', '@babel/core', '@babel/runtime', '@react-native-community/eslint-config', 'babel-jest', 'eslint', 'eslint-config-prettier', 'eslint-config-react-app', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'jest', 'metro-react-native-babel-preset', 'prettier', 'react-test-renderer']"
itchief/ui-components,"['terser', 'eslint', 'eslint-config-airbnb-base', 'eslint-plugin-import', 'prettier', 'stylelint', 'stylelint-config-prettier', 'stylelint-config-rational-order', 'stylelint-config-standard', 'stylelint-order', 'stylelint-prettier', 'stylelint-scss']"
jhipster/jhipster-online,"['@angular/common', '@angular/compiler', '@angular/core', '@angular/forms', '@angular/localize', '@angular/platform-browser', '@angular/platform-browser-dynamic', '@angular/router', '@fortawesome/angular-fontawesome', '@fortawesome/fontawesome-svg-core', '@fortawesome/free-brands-svg-icons', '@fortawesome/free-solid-svg-icons', '@ng-bootstrap/ng-bootstrap', '@ngx-translate/core', '@ngx-translate/http-loader', '@scarf/scarf', 'bootstrap', 'dayjs', 'echarts', 'jquery', 'ng-jhipster', 'ngx-cookie', 'ngx-infinite-scroll', 'ngx-webstorage', 'popper.js', 'resize-observer-polyfill', 'rxjs', 'swagger-ui-dist', 'tslib', 'zone.js', '@angular-builders/custom-webpack', '@angular-builders/jest', '@angular-devkit/build-angular', '@angular-eslint/eslint-plugin', '@angular/cli', '@angular/compiler-cli', '@openapitools/openapi-generator-cli', '@types/echarts', '@types/gtag.js', '@types/jest', '@types/node', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'browser-sync', 'browser-sync-webpack-plugin', 'copy-webpack-plugin', 'eslint', 'eslint-config-prettier', 'eslint-webpack-plugin', 'generator-jhipster', 'husky', 'jest', 'jest-date-mock', 'jest-environment-jsdom', 'jest-jasmine2', 'jest-junit', 'jest-preset-angular', 'jest-sonar-reporter', 'lint-staged', 'mem-fs', 'prettier', 'prettier-plugin-java', 'rimraf', 'ts-jest', 'typescript', 'webpack', 'webpack-bundle-analyzer', 'webpack-merge', 'webpack-notifier', 'workbox-webpack-plugin']"
strveJs/strve,"['@rollup/plugin-replace', '@rollup/plugin-terser', 'rollup', 'typescript']"
SAP/fundamental-styles,"['@storybook/blocks', '@storybook/components', '@storybook/core-events', '@vitejs/plugin-react', 'fast-deep-equal', 'jsdom', '@actions/core', '@babel/core', '@chromatic-com/storybook', '@commitlint/cli', '@commitlint/config-conventional', '@jsdevtools/npm-publish', '@nx/devkit', '@nx/eslint', '@nx/eslint-plugin', '@nx/js', '@nx/plugin', '@nx/react', '@nx/web', '@sap-theming/theming-base-content', '@storybook/addon-a11y', '@storybook/addon-actions', '@storybook/addon-controls', '@storybook/addon-docs', '@storybook/addon-links', '@storybook/addon-mdx-gfm', '@storybook/addon-toolbars', '@storybook/addon-viewport', '@storybook/csf-tools', '@storybook/html', '@storybook/html-vite', '@storybook/icons', '@storybook/manager-api', '@storybook/preview-api', '@storybook/theming', '@swc/core', '@testing-library/react', '@types/fs-extra', '@types/node', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'autoprefixer', 'bundlesize', 'chromatic', 'clean-css', 'clean-css-cli', 'colors', 'conventional-changelog', 'conventional-changelog-angular', 'conventional-changelog-cli', 'conventional-recommended-bump', 'core-js', 'cross-env', 'cssnano', 'eslint', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-storybook', 'fast-glob', 'fs-extra', 'git-semver-tags', 'glob', 'husky', 'jsonc-eslint-parser', 'lerna', 'lint-staged', 'lodash', 'markdown-to-jsx', 'normalize.css', 'npm-run-all', 'nx', 'nx-stylelint', 'postcss', 'postcss-banner', 'postcss-cli', 'postcss-import', 'postcss-normalize-charset', 'postcss-scss', 'prettier', 'react', 'react-dom', 'react-is', 'remark-gfm', 'sass', 'semver', 'standard-version', 'start-server-and-test', 'storybook', 'stylelint', 'stylelint-config-standard', 'stylelint-config-standard-scss', 'stylelint-scss', 'through2', 'tocbot', 'ts-node', 'tslib', 'typescript', 'vite', 'vite-tsconfig-paths', 'vitest', 'vitest-axe']"
awesome-yasin/PDF-Verse,"['@pdf-lib/fontkit', 'axios', 'body-parser', 'cors', 'docxtemplater', 'ejs', 'excel4node', 'express', 'imagemin', 'jimp', 'jszip', 'libreoffice-convert', 'mammoth', 'multer', 'officegen', 'pdf-image', 'pdf-img-convert-web', 'pdf-lib', 'pdf-parse', 'pdf-watermark', 'pdf2json', 'pdf2pic', 'pdf2table', 'pdfjs-dist', 'pdfmake', 'puppeteer', 'uuid', 'xhr2', 'zlib']"
smallcase/react-native-simple-biometrics,"['@arkweid/lefthook', '@babel/eslint-parser', '@commitlint/config-conventional', '@react-native-community/eslint-config', '@release-it/conventional-changelog', '@types/jest', '@types/react', '@types/react-native', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'jest', 'pod-install', 'prettier', 'react', 'react-native', 'react-native-builder-bob', 'release-it', 'typescript']"
oslabs-beta/Ahoy,"['@babel/plugin-transform-runtime', '@babel/runtime', 'nodejs-helm', 'postcss', 'react', 'react-dom', 'semantic-ui-css', 'semantic-ui-react', 'yaml', '@babel/core', '@babel/preset-env', '@babel/preset-react', 'babel-loader', 'cross-env', 'css-loader', 'electron', 'electron-devtools-installer', 'electron-packager', 'enzyme', 'enzyme-adapter-react-16', 'enzyme-to-json', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'file-loader', 'html-webpack-plugin', 'jest', 'mini-css-extract-plugin', 'postcss-import', 'postcss-loader', 'postcss-nested', 'postcss-preset-env', 'postcss-pxtorem', 'style-loader', 'webpack', 'webpack-cli', 'webpack-dev-server']"
tableaunoir/tableaunoir,"['@types/color', '@types/jspdf', '@types/lz-string', '@types/pdfjs-dist', 'color', 'html2canvas', 'jspdf', 'lz-string', 'tippy.js', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'clean-webpack-plugin', 'copy-webpack-plugin', 'css-loader', 'electron', 'eslint', 'pdfjs-dist', 'ts-loader', 'typescript', 'webpack', 'webpack-bundle-analyzer', 'webpack-cli']"
microsoft/react-dag-editor,"['react', 'react-dom', 'tslib', '@babel/core', '@babel/preset-react', '@chromatic-com/storybook', '@fluentui/merge-styles', '@nx/eslint', '@nx/eslint-plugin', '@nx/jest', '@nx/js', '@nx/react', '@nx/storybook', '@nx/vite', '@nx/web', '@storybook/addon-essentials', '@storybook/addon-interactions', '@storybook/core-server', '@storybook/react-vite', '@storybook/test', '@storybook/test-runner', '@swc-node/register', '@swc/core', '@swc/helpers', '@testing-library/react', '@types/dompurify', '@types/jest', '@types/node', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-react', '@vitest/ui', 'dompurify', 'eslint', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-react-refresh', 'jest', 'jest-environment-jsdom', 'jsdom', 'nx', 'prettier', 'react-jss', 'react-test-renderer', 'sass', 'storybook', 'toposort', 'ts-jest', 'ts-node', 'typescript', 'uuid', 'vite', 'vite-plugin-dts', 'vitest']"
owsolutions/angular5-iot-dashboard,"['@angular/common', '@angular/compiler', '@angular/core', '@angular/forms', '@angular/http', '@angular/platform-browser', '@angular/platform-browser-dynamic', '@angular/router', '@ng-bootstrap/ng-bootstrap', '@ngrx/core', '@ngrx/store', '@ngx-translate/core', 'angular-calendar', 'angular2-toaster', 'bootstrap', 'compass-mixins', 'cordova-android', 'cordova-browser', 'cordova-plugin-whitelist', 'core-js', 'highcharts', 'intl', 'lodash.flatten', 'lodash.isnumber', 'lodash.merge', 'lodash.random', 'lodash.times', 'lodash.values', 'ngx-toggle-switch', 'ngx-ui-switch', 'realtime-document', 'response-type', 'rxjs', 'sails.io.js', 'simplebar', 'socket.io-client', 'url-matcher', 'yamljs', 'zone.js', '@angular/cli', '@angular/compiler-cli', '@angularclass/hmr', '@types/colors', '@types/jasmine', '@types/node', 'codelyzer', 'cypress', 'node-sass', 'protractor', 'sass-material-colors', 'serve', 'ts-node', 'tslint', 'typescript']"
freedomofpress/sunder,"['electron-debug', 'font-awesome', 'prop-types', 'react', 'react-dom', 'react-redux', 'react-router', 'react-router-redux', 'redux', 'redux-form', 'redux-promise', 'redux-thunk', 'rusty-secrets', 'asar', 'babel-core', 'babel-eslint', 'babel-loader', 'babel-plugin-add-module-exports', 'babel-plugin-module-resolver', 'babel-plugin-webpack-loaders', 'babel-polyfill', 'babel-preset-env', 'babel-preset-react', 'babel-preset-react-hmre', 'babel-preset-stage-0', 'chai', 'co-mocha', 'concurrently', 'cross-env', 'css-loader', 'del', 'dirty-chai', 'electron', 'electron-build-env', 'electron-builder', 'electron-mocha', 'enzyme', 'enzyme-adapter-react-15', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'express', 'extract-text-webpack-plugin', 'file-loader', 'hoek', 'jsdom', 'json-loader', 'minimist', 'mocha', 'mockery', 'moment', 'neon-cli', 'node-sass', 'nyc', 'react-addons-test-utils', 'react-test-renderer', 'redux-logger', 'sass-loader', 'sinon', 'spectron', 'style-loader', 'url-loader', 'webpack', 'webpack-dev-middleware', 'webpack-hot-middleware', 'webpack-target-electron-renderer']"
feathersui/feathersui-openfl,[]
starknet-io/starkgate-frontend,"['@changesets/cli', '@trivago/prettier-plugin-sort-imports', 'eslint-config-base', 'npkill', 'prettier', 'sort-package-json', 'turbo']"
louh/lcars,"['howler', 'pinia', 'postcss-nesting', 'three', 'vue', 'vue-router', '@types/howler', '@vitejs/plugin-vue', 'autoprefixer', 'postcss', 'tailwindcss', 'typescript', 'vite', 'vite-svg-loader']"
