repo_name,total_unique_dependencies,total_unique_dev_dependencies,always_present_dependencies,always_present_dev_dependencies
hamzasaleem2_s3oosh_package_json_history,20,8,"react, @types/uuid, uuid, tailwindcss-animate, clsx, react-dom, @radix-ui/react-slot, class-variance-authority, @radix-ui/react-dropdown-menu, @radix-ui/react-progress, next-themes, @radix-ui/react-scroll-area, axios, @aws-sdk/s3-request-presigner, @aws-sdk/client-s3, lucide-react, next, @radix-ui/react-dialog, tailwind-merge","tailwindcss, eslint, @types/react-dom, @types/node, postcss, eslint-config-next, typescript, @types/react"
iTwin_iTwinUI_package_json_history,0,17,,
chenz24_vue-blu_package_json_history,8,71,"font-awesome, bulma, flatpickr, vue, jump.js, lodash, popper.js","highlight.js, loader-utils, karma-mocha, css-loader, babel-preset-es2015, eslint-plugin-import, semver, json-loader, webpack-merge, isparta-loader, mocha, babel-core, babel-loader, transliteration, babel-helper-vue-jsx-merge-props, webpack, eslint-plugin-html, opn, webpack-hot-middleware, phantomjs-prebuilt, babel-plugin-syntax-jsx, file-loader, chalk, eslint, karma-phantomjs-launcher, lolex, karma, sinon-chai, karma-spec-reporter, karma-coverage, express, sinon, vue-loader, connect-history-api-fallback, extract-text-webpack-plugin, html-webpack-plugin, chromedriver, markdown-it-container, karma-sinon-chai, babel-eslint, function-bind, nightwatch, autoprefixer, shelljs, webpack-dev-middleware, cross-spawn, vue-style-loader, eslint-loader, karma-sourcemap-loader, selenium-server, http-proxy-middleware, chai, node-sass, url-loader, eslint-friendly-formatter, markdown-it-anchor, babel-preset-stage-2, babel-plugin-transform-vue-jsx, inject-loader, ora, rimraf, cheerio, eslint-import-resolver-webpack, eslint-config-airbnb-base, eventsource-polyfill, sass-loader, babel-plugin-transform-runtime, karma-webpack, babel-register, markdown-it"
CzBiX_qb-web_package_json_history,16,27,"vue, roboto-fontface, vuex, @mdi/font, lodash, vuetify, core-js, dayjs, axios","vue-template-compiler, @types/lodash, vuetify-loader, sass, @vue/cli-plugin-babel, @vue/cli-plugin-typescript, vue-cli-plugin-vuetify, @vue/cli-service, typescript, sass-loader"
phibr0_obsidian-commander_package_json_history,3,26,,"builtin-modules, @typescript-eslint/eslint-plugin, @typescript-eslint/parser, @types/node, esbuild, tslib, typescript, obsidian"
sanniassin_react-input-mask_package_json_history,3,47,,
themesberg_neumorphism-ui-bootstrap_package_json_history,16,18,"sticky-sidebar, nouislider, jquery.counterup, bootstrap, jquery, jquery-countdown, onscreen, jquery-validation, @fortawesome/fontawesome-free, headroom.js, bootstrap-datepicker, prismjs, smooth-scroll, popper.js, jarallax, waypoints","gulp-plumber, merge-stream, gulp-header, gulp-uglify, gulp-sourcemaps, gulp-rename, gulp-file-include, gulp-cssbeautify, gulp-npm-dist, gulp-htmlmin, gulp, gulp-wait, gulp-autoprefixer, browser-sync, gulp-clean-css, gulp-sass, del"
marmelab_react-admin_package_json_history,0,39,,
beekai-oss_react-simple-animate_package_json_history,0,26,,
chacestew_react-router-tabs_package_json_history,2,21,prop-types,"react, react-router-config, css-loader, react-dom, babel-loader, style-loader, webpack, html-webpack-plugin, webpack-dev-server"
styled-system_styled-system_package_json_history,1,14,,
zircleUI_zircleUI_package_json_history,1,16,vue,
jpvalery_newfoundland_package_json_history,1,5,gsap,webpack
facebook_react-native_package_json_history,0,61,,
redfin_react-server_package_json_history,16,57,,
mdbootstrap_material-design-for-bootstrap_package_json_history,0,0,,
kybarg_bootstrap-dropdown-hover_package_json_history,0,1,,
Flood-UI_flood_package_json_history,74,31,"morgan, debug, cookie-parser, body-parser, express",
pixijs_pixi-ui_package_json_history,1,40,glslify,"jsdoc, jshint-stylish-summary, minimist, jshint-stylish, pixify, parallelshell, rimraf, mkdirp, jshint, jaguarjs-jsdoc, browserify-versionify, watch, del"
hezhongfeng_vue-page-stack_package_json_history,2,10,,
cschroeter_park-ui_package_json_history,7,0,,
FE-Driver_vue-beauty_package_json_history,7,55,,"css-loader, webpack-merge, babel-core, babel-loader, webpack, webpack-hot-middleware, file-loader, express, vue-loader, connect-history-api-fallback, html-webpack-plugin, extract-text-webpack-plugin, autoprefixer, webpack-dev-middleware, http-proxy-middleware, url-loader, babel-preset-stage-2, ora, eventsource-polyfill, babel-plugin-transform-runtime, babel-register"
jlyman_RN-NavigationExperimental-Redux-Example_package_json_history,5,0,"redux, react-native, redux-thunk, react-redux",
mosch_react-avatar-editor_package_json_history,0,7,,
vonovak_react-navigation-props-mapper_package_json_history,1,27,hoist-non-react-statics,
grammarly_focal_package_json_history,2,8,,typescript
heyui_heyui_package_json_history,2,21,,
day8_re-frame_package_json_history,4,6,,
karloespiritu_bemskel_package_json_history,1,13,normalise.scss,"gulp-size, gulp-connect, gulp-header, gulp-cache, gulp-rename, gulp-concat, gulp, gulp-autoprefixer, gulp-cssnano, gulp-eslint, browser-sync, gulp-sass, del"
telekom_scale_package_json_history,0,7,,rimraf
NigelOToole_priority-nav-scroller_package_json_history,0,15,,"gulp-plumber, gulp-load-plugins, gulp-babel, gulp-rename, gulp-sourcemaps, gulp, gulp-sass, browser-sync"
evmts_tevm-monorepo_package_json_history,0,23,,
angular_flex-layout_package_json_history,16,32,,"@types/jasmine, @angular/compiler-cli, ts-node, @types/node, tslint, typescript, stylelint"
Just-Moh-it_Pckd_package_json_history,0,0,,
Govind783_react-e-commerce-_package_json_history,35,1,"react, react-dom, @testing-library/user-event, @testing-library/react, web-vitals, @testing-library/jest-dom, react-scripts",
blefnk_relivator-nextjs-template_package_json_history,90,35,"react, postgres, @radix-ui/react-label, @radix-ui/react-tooltip, @radix-ui/react-icons, clsx, @radix-ui/react-slider, react-dom, @radix-ui/react-slot, class-variance-authority, drizzle-orm, @radix-ui/react-dropdown-menu, @radix-ui/react-scroll-area, next-themes, @radix-ui/react-select, react-wrap-balancer, @hookform/resolvers, react-hook-form, zod, cmdk, lucide-react, next, @radix-ui/react-checkbox, @radix-ui/react-dialog, @radix-ui/react-popover, @radix-ui/react-switch","tailwindcss, eslint, @types/react-dom, @types/node, drizzle-kit, postcss, autoprefixer, typescript, @types/react"
shoelace-style_shoelace_package_json_history,8,61,,"prettier, bootstrap-icons, chalk, recursive-copy, download, front-matter, husky, del"
froala_design-blocks_package_json_history,4,15,"vinyl-paths, bootstrap, jquery, popper.js","gulp-connect, node-sass, gulp-copy, gulp, gulp-open, gulp-watch, del"
zack24q_vue-navigation_package_json_history,0,44,,"vue-template-compiler, css-loader, semver, webpack-merge, babel-core, babel-loader, webpack, opn, webpack-hot-middleware, file-loader, chalk, express, copy-webpack-plugin, vue-loader, connect-history-api-fallback, html-webpack-plugin, extract-text-webpack-plugin, babel-preset-env, function-bind, autoprefixer, friendly-errors-webpack-plugin, webpack-dev-middleware, optimize-css-assets-webpack-plugin, vue-style-loader, http-proxy-middleware, url-loader, babel-preset-stage-2, ora, rimraf, webpack-bundle-analyzer, eventsource-polyfill, babel-plugin-transform-runtime, babel-register"
tywalch_electrodb_package_json_history,3,26,,"uuid, aws-sdk, chai, nyc"
konstaui_konsta_package_json_history,1,41,,
parro-it_libui-node_package_json_history,5,5,,ava
angular-split_angular-split_package_json_history,13,33,,
yamankatby_react-native-material_package_json_history,3,20,,
inkline_inkline_package_json_history,0,2,,
yeun_open-color_package_json_history,0,5,,
creativetimofficial_soft-ui-react-native_package_json_history,26,8,"react, react-native-keyboard-aware-scroll-view, react-native-pager-view, react-native-gesture-handler, @react-native-async-storage/async-storage, @react-navigation/native, react-native-screens, expo-status-bar, react-dom, expo-linear-gradient, react-native, expo, react-native-reanimated, react-native-web, i18n-js, react-native-safe-area-context, @react-navigation/drawer, @react-navigation/stack, expo-localization, expo-blur, dayjs, expo-constants, expo-haptics","@types/i18n-js, eslint, @react-native-community/eslint-config, jest-expo, @types/react-native, typescript, @types/react, @babel/core"
TerryZ_SelectPage_package_json_history,0,1,,
nuxt_ui_package_json_history,22,20,,eslint
nikitavoloboev_config_package_json_history,0,1,,bun-types
adrianhajdin_project_modern_ui_ux_gpt3_package_json_history,8,6,"react, react-dom, @testing-library/user-event, @testing-library/react, web-vitals, @testing-library/jest-dom, react-scripts",
duan602728596_antd-schema-form_package_json_history,2,48,,"react, chai, eslint-plugin-react, eslint, cross-env, gulp, react-dom, rimraf, mocha, typescript, @types/react, gulp-typescript, antd"
timothymiller_t4-app_package_json_history,10,0,"check-dependency-version-consistency, typescript, @babel/runtime, @manypkg/cli",
hicetnunc2000_hicetnunc_package_json_history,47,1,"react, react-router, @airgap/beacon-sdk, react-dom, @testing-library/user-event, @testing-library/react, local-storage, react-router-dom, @testing-library/jest-dom, axios, react-scripts",
beercss_beercss_package_json_history,1,26,,fs-extra
wework_ray_package_json_history,0,25,,lerna
GeekyAnts_NativeBase_package_json_history,35,48,,
craftedbygc_taxi_package_json_history,1,20,@unseenco/e,"browser-sync-webpack-plugin, laravel-mix, microbundle, typescript, browser-sync"
louislam_dockge_package_json_history,29,39,"express-static-gzip, mysql2, jsonwebtoken, socket.io, yaml, http-graceful-shutdown, croner, @louislam/sqlite3, redbean-node, socket.io-client, timezones-list, tsx, composerize, express, knex, compare-versions, limiter-es6-compat, check-password-strength, @homebridge/node-pty-prebuilt-multiarch, type-fest, jwt-decode, bcryptjs, ts-command-line-args, command-exists, dayjs","vue-prism-editor, cross-env, vue-qrcode, vue-router, vue-i18n, vite-plugin-compression, @fortawesome/free-regular-svg-icons, @types/command-exists, eslint-plugin-vue, vite, eslint, vue-eslint-parser, bootstrap-vue-next, prismjs, @types/bootstrap, typescript, @fortawesome/fontawesome-svg-core, @vitejs/plugin-vue, xterm-addon-web-links, @typescript-eslint/eslint-plugin, vue, @typescript-eslint/parser, bootstrap, eslint-plugin-jsdoc, @types/jsonwebtoken, @fortawesome/vue-fontawesome, sass, @fortawesome/free-solid-svg-icons, vue-toastification, @types/express, unplugin-vue-components"
cerner_terra-core_package_json_history,0,32,,lerna
TokenMarketNet_ethereum-smart-contract-transaction-demo_package_json_history,11,32,"react, ethers-wallet, react-dom, mobx-react, react-bootstrap, mobx, web3","babel-cli, babel-preset-stage-1, eslint-config-airbnb, css-loader, babel-preset-es2015, eslint-plugin-import, webpack-merge, babel-loader, npm-install-webpack-plugin, webpack, file-loader, eslint, eslint-plugin-jsx-a11y, babel-preset-react-hmre, babel-plugin-transform-object-assign, babel-plugin-transform-decorators-legacy, html-webpack-plugin, extract-text-webpack-plugin, eslint-plugin-react, babel-preset-react, babel-eslint, style-loader, webpack-dev-server, url-loader, clean-webpack-plugin, babel-plugin-array-includes, rimraf"
skiff-org_skiff-ui_package_json_history,7,15,,"typescript, css-loader"
redux-form_redux-form_package_json_history,8,45,,"react, eslint-plugin-react, eslint, rimraf, babel-eslint, babel-loader, webpack"
zq99299_gitbook-plugin-anchor-navigation-ex_package_json_history,3,0,cheerio,
museui_muse-ui_package_json_history,5,43,,"eslint, babel-preset-stage-2, less, babel-eslint, babel-core, babel-plugin-transform-runtime"
timomeh_react-native-material-bottom-navigation_package_json_history,1,22,,"babel-preset-react-native, babel-jest, react-test-renderer, jest"
adrianhajdin_project_youtube_clone_package_json_history,10,0,"@mui/icons-material, react, @emotion/styled, react-dom, @mui/material, @emotion/react, react-router-dom, react-player, axios, react-scripts",
DSpace_dspace-angular_package_json_history,66,73,"@angular/platform-browser, @angular/router, morgan, @angular/common, rxjs, @angular/platform-server, @angular/forms, express, @angular/core, @angular/platform-browser-dynamic, zone.js","ts-node, @types/node, @ngtools/webpack, typescript, @types/express"
BootstrapDash_Stellar_package_json_history,16,22,"moment, chart.js, select2, simple-line-icons, pwstabs, bootstrap, jquery, select2-bootstrap-theme, chartist, perfect-scrollbar, progressbar.js, twbs-pagination, flag-icon-css, popper.js, typeahead.js","gulp-inject, gulp-sourcemaps, gulp-rename, gulp, compass-mixins, run-sequence, minimatch, gulp-replace, gulp-sass, gulp-inject-partials, browser-sync"
fahad19_proppy_package_json_history,0,20,,"lerna-changelog, webpack, webpack-cli, lodash, ts-jest, tslint, typescript, bulma, @types/jest, lerna, js-yaml, node-sass, compression-webpack-plugin, live-server, marked, rimraf, ts-loader, metalsmith, jest"
freedomofpress_sunder_package_json_history,13,54,,
kanzitelli_rnn-starter_package_json_history,25,24,"react, react-native","babel-jest, react-test-renderer, @react-native-community/eslint-config, @babel/runtime, metro-react-native-babel-preset, @babel/core, jest"
leemonade_leemons_package_json_history,0,27,,
FightingDesign_fighting-design_package_json_history,1,28,,
vuejs_ui_package_json_history,3,33,,"stylus, vue-template-compiler, stylus-loader, @vue/cli-plugin-babel, @vue/cli-service, raw-loader, @vue/cli-plugin-eslint, @vue/eslint-config-standard"
danmindru_page-ui_package_json_history,4,0,,
matyunya_smelte_package_json_history,12,32,,"rollup-plugin-svelte, @babel/plugin-transform-runtime, @now/node, npm-run-all, @babel/plugin-syntax-dynamic-import, @babel/runtime, @babel/preset-env, rollup, rollup-plugin-terser, sapper, @babel/core"
gxsshallot_react-native-pure-navigation-bar_package_json_history,0,0,,
n1crack_vuefinder_package_json_history,9,9,,
disco-oauth_disco-oauth_package_json_history,3,6,,
itchief_ui-components_package_json_history,1,11,,
primefaces_primeng_package_json_history,0,66,,
frejs_fre_package_json_history,1,13,,
SAP_fundamental-styles_package_json_history,6,99,,
Mango_slideout_package_json_history,2,8,decouple,"browserify, mocha, uglify-js"
ekvedaras_redis-gui_package_json_history,18,27,vue,"eslint-plugin-vue, eslint"
build-security_react-rbac-ui-manager_package_json_history,0,15,,"@size-limit/preset-small-lib, @types/styled-components, styled-components, react, @material-ui/icons, @types/react-dom, react-dom, @material-ui/core, size-limit, tslib, tsdx, typescript, @material-ui/lab, @types/react, husky"
jamiebuilds_babel-handbook_package_json_history,0,0,,
unovue_radix-vue_package_json_history,0,10,,
alibaba_ChatUI_package_json_history,6,45,"dompurify, @babel/runtime-corejs3, clsx, @babel/runtime, intersection-observer, core-js","react, eslint-config-airbnb, less, eslint-plugin-react-hooks, eslint-plugin-import, @rollup/plugin-commonjs, cssnano, @commitlint/cli, @babel/plugin-transform-runtime, eslint, react-dom, @types/resize-observer-browser, @babel/plugin-proposal-class-properties, eslint-plugin-jsx-a11y, rollup, rollup-plugin-terser, ts-jest, typescript, eslint-config-airbnb-typescript, @rollup/plugin-node-resolve, @typescript-eslint/eslint-plugin, eslint-plugin-react, @types/jest, autoprefixer, @types/dompurify, eslint-config-prettier, @commitlint/config-conventional, @babel/core, eslint-plugin-compat, @types/react-dom, @babel/preset-env, @testing-library/react, @babel/preset-typescript, @rollup/plugin-babel, @babel/preset-react, @testing-library/jest-dom, @types/react, husky, jest"
ant-design_ant-design_package_json_history,49,168,,
jekyll_jekyll-admin_package_json_history,29,19,"underscore, react, react-router, react-ace, react-widgets, react-redux, moment, isomorphic-fetch, react-dropzone, brace, react-dom, lodash, react-textarea-autosize, redux-thunk, sortablejs, js-yaml, react-router-redux, redux, redux-logger","node-sass, nock, npm-run-all, react-addons-test-utils, redux-immutable-state-invariant, redux-mock-store, enzyme"
rfmiotto_react-use-draggable-scroll_package_json_history,0,25,,"@size-limit/preset-small-lib, react, @types/react-dom, react-dom, tslib, size-limit, tsdx, typescript, @types/react, husky"
TeamWertarbyte_mdi-material-ui_package_json_history,0,16,,
zdhxiong_mdui_package_json_history,0,50,,
smooth-code_smooth-ui_package_json_history,0,45,,"react, styled-components, eslint-plugin-react, eslint, rollup-plugin-babel, cross-env, eslint-config-airbnb, eslint-plugin-import, react-dom, eslint-plugin-jsx-a11y, rollup, rollup-plugin-commonjs, babel-eslint, rollup-plugin-node-resolve, shx, rollup-plugin-replace, eslint-config-prettier, jest"
hmans_three-elements_package_json_history,0,22,,
alfonsobries_vue-tailwind_package_json_history,11,41,,
rcaferati_react-awesome-slider_package_json_history,1,44,,"react-router, eslint-config-airbnb, eslint-plugin-import, css-loader, babel-core, babel-loader, react-router-dom, webpack, babel-plugin-transform-react-remove-prop-types, react-test-renderer, eslint, react-dom, eslint-plugin-jsx-a11y, prismjs, babel-jest, eslint-plugin-react, babel-eslint, autoprefixer, shelljs, style-loader, webpack-dev-server, node-sass, postcss-loader, sass-loader, jest"
Tencent_weui-wxss_package_json_history,0,12,,"gulp-rename, gulp, autoprefixer, gulp-postcss, gulp-less"
Decathlon_vitamin-web_package_json_history,1,19,,"prettier, lint-staged, lerna, husky"
max-mapper_yo-yo_package_json_history,2,3,"bel, morphdom",
aijason_RN_WanAndroid_package_json_history,20,8,"react, react-native-swiper, react-native-gesture-handler, react-navigation, react-redux, redux-thunk, lodash, react-native-webview, @react-native-community/async-storage, react-native-splash-screen, axios, react-native, react-navigation-stack, react-native-reanimated, react-navigation-drawer, redux, react-navigation-tabs, querystring, react-native-vector-icons","babel-jest, react-test-renderer, eslint, @react-native-community/eslint-config, @babel/runtime, metro-react-native-babel-preset, @babel/core, jest"
bbc_lrud_package_json_history,1,19,,
themefisher_sleek-bootstrap_package_json_history,1,23,,
ModusCreateOrg_react-navigation-redux-sample_package_json_history,7,5,"redux, react, react-native, react-navigation, redux-thunk, react-redux, react-native-vector-icons","babel-jest, react-test-renderer, babel-preset-react-native, babel-plugin-transform-decorators-legacy, jest"
AKAspanion_ui-neumorphism_package_json_history,1,21,,"react, cross-env, eslint-plugin-prettier, eslint-plugin-import, microbundle-crl, eslint, eslint-plugin-promise, react-dom, eslint-config-standard, prettier, eslint-plugin-react, babel-eslint, eslint-config-prettier, eslint-config-standard-react, npm-run-all, gh-pages, eslint-plugin-standard, eslint-plugin-node, react-scripts"
HimanshuNarware_CareerZunction_Intern_package_json_history,23,1,"react, react-scripts, react-dom, @testing-library/user-event, @testing-library/react, web-vitals, react-router-dom, @testing-library/jest-dom, react-redux, @reduxjs/toolkit, antd",
catherineisonline_pizza-time-with-react_package_json_history,25,0,"react, react-dom, react-leaflet, @testing-library/react, leaflet, react-alice-carousel, web-vitals, react-router-dom, @testing-library/jest-dom, react-icons, react-scripts",
dcloudio_uni-app_package_json_history,0,65,,"@dcloudio/types, rollup-plugin-node-globals, @rollup/plugin-json, rollup-plugin-typescript2, @rollup/plugin-replace, @rollup/plugin-commonjs, eslint, rollup, ts-jest, typescript, miniprogram-api-typings, prettier, @rollup/plugin-node-resolve, vue, @typescript-eslint/parser, @types/jest, fs-extra, rollup-plugin-node-builtins, @microsoft/api-extractor, mini-types, yorkie, lint-staged, jest"
oslabs-beta_Ahoy_package_json_history,9,31,"postcss, react, react-dom","cross-env, css-loader, postcss-import, mini-css-extract-plugin, babel-loader, webpack, file-loader, webpack-cli, electron-devtools-installer, html-webpack-plugin, postcss-pxtorem, electron-packager, style-loader, @babel/core, electron, postcss-nested, webpack-dev-server, postcss-loader, @babel/preset-env, @babel/preset-react, postcss-preset-env"
Aashu-Dubey_React-Native-UI-Templates_package_json_history,14,16,"@ptomasroos/react-native-multi-slider, @miblanchard/react-native-slider, react, react-native, react-native-screens, @react-native-community/blur, @react-navigation/drawer, @react-navigation/stack, react-native-gesture-handler, react-native-reanimated, @react-navigation/native, react-native-vector-icons, react-native-safe-area-context","@types/react-test-renderer, babel-jest, react-test-renderer, eslint, @babel/runtime, typescript, @babel/core, jest"
StaticMania_keep-react_package_json_history,27,50,"react, react-dom, tailwind-merge, recharts","@mdx-js/loader, eslint-plugin-storybook, css-minify, @types/recharts, tsconfig-paths-webpack-plugin, prop-types, postcss-loader, remark-toc, @mdx-js/react, @next/mdx, @types/babel__core, @types/react-syntax-highlighter, rehype-slug, prismjs, @tailwindcss/forms, @types/babel__generator, @babel/core"
Microwawe_mamba-ui_package_json_history,14,38,"@angular/compiler, @angular/service-worker, @angular/platform-browser, @angular/router, @angular/animations, @angular/common, rxjs, @angular/forms, tslib, @angular/core, @angular/platform-browser-dynamic, zone.js","karma-chrome-launcher, @types/jasmine, eslint-plugin-prettier, @types/jasminewd2, eslint, standard-version, ts-node, karma, jasmine-spec-reporter, jasmine-core, typescript, prettier, karma-coverage-istanbul-reporter, tailwindcss, @typescript-eslint/eslint-plugin, @fullhuman/postcss-purgecss, @typescript-eslint/parser, autoprefixer, eslint-config-prettier, @tailwindcss/typography, karma-jasmine, @angular-devkit/build-angular, karma-jasmine-html-reporter, gts, @angular/compiler-cli, @types/node, postcss, @angular/cli"
jineshshah36_react-native-nav_package_json_history,0,1,,
transferthought_transfer-thought_package_json_history,124,18,"html-loader, @sentry/vue, aframe-fps-counter-component, aframe-slice9-component, @tweenjs/tween.js, vue-prism-editor, vue2-touch-events, aframe-csg-meshs, portal-vue, vuex, @tiptap/starter-kit, acorn, aframe-look-controls-z, aframe-physics-system, three, vue-router, three-mesh-ui, aframe-resonance-audio-component, uuid, howler, resize-observer-polyfill, amazon-kinesis-video-streams-webrtc, fuse.js, aframe-text-geometry-component, vue-fragment, aframe-chromakey-material, aframe-motion-capture-components, aframe-render-order-component, liquor-tree, rtcmulticonnection, aframe, vue-confetti, @vuejs-community/vue-filter-date-format, aws-amplify, vue2-ace-editor, xstate, vuetify-draggable-treeview, tone, prismjs, fluent-ffmpeg, stripe, aframe-layout-component, vue-loader, aframe-plot-component, aframe-teleport-controls, aframe-aabb-collider-component, encode-utf8, vue, nipplejs, vue-apollo, @aws-amplify/core, aframe-fireball-component, animejs, vue-pdf-app, chrome-remote-interface, exifr, qrcode, aframe-extras, cannon, postal, jszip, aframe-glow, three.meshline, cannon-es, aframe-portals, aframe-state-component, aws-appsync, aframe-shaderfrog-component, vue-prism-component, aframe-particle-system-component, aframe-super-keyboard, vue-tour, adapterjs, compromise, @turf/turf, file-saver, aframe-physics-extras, aframe-fractal-component, aframe-image-portal, aframe-environment-component, vue-resize-text, brace, lodash, graphql, microphone-stream, acorn-walk, aframe-lerp-component, aframe-stereo-component, axios, fabric, puppeteer-screen-recorder, aframe-event-set-component, exif-js, quill, aframe-cursor-teleport-component, webm-to-mp4, @sentry/tracing, networked-aframe, @tiptap/pm, aframe-hologram-shader, @vue/reactivity, md5, vue-shortkey, aframe-svg-extruder, tiptap-vuetify, aframe-proxy-event-component, global, aframe-audioanalyser-component, aframe-material-collection, aframe-charts-component, core-js, @aws-amplify/cache, @tiptap/vue-2, puppeteer, graphql-tag, aframe-liquid-portal-shader, vuetify, aframe-look-at-component, vuedraggable, @aws-amplify/auth, super-hands, dayjs, aframe-orbit-controls, posthog-js","prettier, vue-template-compiler, babel-jest, @vue/cli-plugin-babel, babel-eslint, vue-cli-plugin-vuetify, @vue/cli-service, cypress, @babel/core, eslint-plugin-vue, eslint, @vue/eslint-config-airbnb, @babel/preset-env, vuetify-loader, sass, vue-svg-loader, sass-loader, jest"
capricorn86_happy-dom_package_json_history,0,19,,"prettier, @typescript-eslint/eslint-plugin, eslint, @typescript-eslint/parser, eslint-plugin-prettier, typescript, @types/node, @types/he, eslint-config-prettier"
homebridge_homebridge-config-ui-x_package_json_history,40,25,,
handi-dev_react-native-boilerplate_package_json_history,0,1,,
anhquan291_e-commerce-app-react-native_package_json_history,52,2,"react, react-native-gesture-handler, @react-navigation/bottom-tabs, @react-navigation/native, react-redux, @react-native-community/masked-view, expo-permissions, moment, eslint, react-native-screens, redux-thunk, react-dom, react-link, react-native-paper, expo-linear-gradient, react-native-picker-select, react-number-format, react-native-animatable, react-native, @expo/vector-icons, react-native-loading-placeholder, expo, react-native-reanimated, expo-linking, eslint-config-prettier, react-native-safe-area-context, expo-notifications, @react-navigation/drawer, @react-navigation/stack, redux-form, redux, expo-sharing, expo-constants, react-native-vector-icons","@babel/core, babel-preset-expo"
mob-sakai_SoftMaskForUGUI_package_json_history,1,0,,
FrontendMasters_remix-fundamentals_package_json_history,2,11,,typescript
spartez_vue-aui_package_json_history,0,57,,"vue-template-compiler, semver, css-loader, webpack-merge, babel-core, babel-loader, webpack, opn, webpack-hot-middleware, file-loader, chalk, express, vue-loader, connect-history-api-fallback, html-webpack-plugin, autoprefixer, shelljs, webpack-dev-middleware, vue-style-loader, http-proxy-middleware, url-loader, ora, eventsource-polyfill"
TailGrids_tailwind-ui-components_package_json_history,0,6,,"tailwindcss, postcss, autoprefixer"
meta-magic_amexio.github.io_package_json_history,13,73,,"del, node-sass, @angular/compiler-cli, codelyzer, rxjs, @types/node, rollup, run-sequence, tslint, core-js, typescript, zone.js"
SashenJayathilaka_Deliveroo-Clone_package_json_history,22,2,"react-native-animatable, react, react-native, tailwindcss-react-native, expo, react-native-progress, @react-navigation/native-stack, react-native-svg, react-native-web, @react-navigation/native, react-currency-formatter, react-redux, react-native-safe-area-context, react-native-screens, expo-status-bar, react-dom, react-native-heroicons, @sanity/image-url, expo-updates, @sanity/client, @reduxjs/toolkit, react-native-maps","tailwindcss, @babel/core"
creativetimofficial_notus-svelte_package_json_history,8,9,sirv-cli,"rollup-plugin-svelte, @rollup/plugin-node-resolve, rollup, rollup-plugin-terser, svelte, @rollup/plugin-commonjs, rollup-plugin-livereload"
adrianhajdin_travel_ui_ux_package_json_history,3,7,"react, react-dom, next","tailwindcss, postcss, autoprefixer, typescript, @types/react-dom, @types/react, @types/node"
airbnb_native-navigation_package_json_history,2,15,react-native-safe-module,"react, react-native, gitbook-cli, babel-plugin-module-resolver, eslint-plugin-react, eslint, eslint-import-resolver-babel-module, eslint-plugin-prefer-object-spread, eslint-config-airbnb, eslint-plugin-import, eslint-plugin-jsx-a11y, babel-eslint, babel-preset-airbnb, babel-preset-react-native"
Detaysoft_react-chat-elements_package_json_history,5,36,,"react, react-test-renderer, react-dom, enzyme-to-json, react-scripts, enzyme"
kobaltedev_kobalte_package_json_history,0,31,,"@testing-library/dom, inquirer, prettier-plugin-tailwindcss, @commitlint/cli, solid-js, @commitlint/cz-commitlint, vite, typescript, turbo, babel-preset-solid, prettier, @commitlint/config-conventional, @babel/core, vite-plugin-solid, commitizen, @babel/preset-env, @testing-library/user-event, @types/node, @changesets/cli, @testing-library/jest-dom"
NativeScript_NativeScript_package_json_history,1,49,,typescript
openbmc_webui-vue_package_json_history,25,28,"@carbon/icons-vue, vue, bootstrap, vuex, bootstrap-vue, vue-router, core-js, axios","prettier, eslint-plugin-vue, @vue/cli-plugin-router, eslint, eslint-plugin-prettier, @vue/cli-plugin-babel, lint-staged, @vue/eslint-config-prettier, @vue/cli-service, @vue/test-utils, @vue/cli-plugin-vuex, sass-loader, @vue/cli-plugin-eslint"
tusen-ai_naive-ui_package_json_history,19,52,,@vue/test-utils
LekoArts_gatsby-starter-portfolio-cara_package_json_history,6,5,"gatsby, react, react-dom, gatsby-plugin-manifest",
nandorojo_dripsy_package_json_history,0,17,,"@react-native-community/eslint-config, @types/jest, @react-native-community/bob, @types/react-native, commitlint, @release-it/conventional-changelog, typescript, @types/react, @commitlint/config-conventional, release-it, jest"
Figma-Linux_figma-linux_package_json_history,4,35,,
React95_React95_package_json_history,8,35,,
nextapps-de_mikado_package_json_history,1,18,,google-closure-compiler
tgrosinger_advanced-tables-obsidian_package_json_history,1,16,,"typescript, obsidian, tslib, @types/node"
chabou_hyper-pane_package_json_history,1,6,,
NG-ZORRO_ng-zorro-antd-mobile_package_json_history,13,61,@angular/cdk,"@types/jasmine, karma-chrome-launcher, less, @types/jasminewd2, antd-theme-generator, node-prismjs, pre-commit, rollup-plugin-sourcemaps, less-plugin-clean-css, ts-node, rxjs, @angular/platform-server, rollup, karma, jasmine-spec-reporter, jasmine-core, prismjs, typescript, protractor, yaml-front-matter, @angular/upgrade, ngx-color, jasmine-marbles, codelyzer, rollup-plugin-node-resolve, core-js, rollup-plugin-uglify, fs-extra, karma-jasmine, ngx-infinite-scroll, @angular-devkit/build-angular, karma-jasmine-html-reporter, marked, @angular/compiler-cli, @stackblitz/sdk, @types/node, rollup-plugin-replace, @angular/cli, zone.js"
raphamorim_react-ape_package_json_history,0,31,,"react-reconciler, react, react-test-renderer"
