repo_name,total_unique_dependencies,total_unique_dev_dependencies,always_present_dependencies,always_present_dev_dependencies
nachos-ui_nachos-ui_package_json_history,7,50,"query-string, md5, react-native-vector-icons","babel-cli, react, eslint-plugin-import, babel-preset-es2015, babel-polyfill, json-loader, babel-core, babel-loader, webpack, http-server, file-loader, react-test-renderer, eslint, gulp, react-dom, eslint-plugin-jsx-a11y, react-native-mock, babel-preset-react-native, gulp-replace, rsg-alt, prettier, babel-jest, eslint-plugin-react, babel-eslint, raw-loader, react-native-web, string-replace-webpack-plugin, babel-preset-stage-0, babel-plugin-add-module-exports, enzyme, webpack-dev-server, url-loader, estraverse-fb, jest, babel-register, babel-preset-react-optimize"
dracula_dracula-ui_package_json_history,3,51,,"react, react-is, @types/react-dom, react-dom, ts-loader, tslib, babel-loader, react-docgen-typescript-loader, tsdx, typescript, @types/react, @babel/core, husky"
react-native-elements_react-native-elements_package_json_history,0,23,,
azouaoui-med_react-pro-sidebar_package_json_history,4,40,,"prettier, eslint-config-airbnb-typescript, @typescript-eslint/eslint-plugin, eslint-plugin-react, eslint, @typescript-eslint/parser, eslint-plugin-prettier, eslint-plugin-react-hooks, eslint-config-airbnb, eslint-plugin-import, eslint-plugin-jsx-a11y, eslint-config-prettier, typescript, eslint-import-resolver-typescript"
Purii_react-use-scrollspy_package_json_history,1,14,lodash,"prettier, eslint, babel-eslint, lint-staged, husky"
nandorojo_swr-react-native_package_json_history,0,16,,"@size-limit/preset-small-lib, react, @types/react-dom, @react-native-community/netinfo, react-dom, @types/react-native, swr, tslib, size-limit, eslint-config-nando, tsdx, typescript, @react-navigation/native, @types/react, husky"
reflexjs_reflexjs_package_json_history,2,34,"@commitlint/config-conventional, @commitlint/cli","prettier, @babel/plugin-transform-runtime, eslint-plugin-react, eslint, eslint-plugin-mdx, react-test-renderer, @babel/runtime, @babel/preset-env, eslint-plugin-prettier, babel-eslint, lerna, @babel/preset-react, pretty-quick, eslint-config-prettier, @babel/core, husky, jest"
ApoorvSaxena_colordrop_package_json_history,0,10,,"load-grunt-tasks, grunt-banner, grunt-contrib-concat, grunt-browserify, grunt-contrib-copy, grunt-contrib-watch, grunt-contrib-uglify, grunt-contrib-clean, grunt-babel"
1943time_inkdown_package_json_history,12,55,"electron-updater, @electron-toolkit/preload, electron-log, mime-types, mkdirp, electron-store, @electron-toolkit/utils","react, string-width, slate, slate-react, remark-math, diacritics, vite-plugin-commonjs-externals, @ant-design/icons, slate-history, unified, vite, nanoid, react-dom, rxjs, katex, typescript, @vitejs/plugin-react, react-use, antd, prettier, tailwindcss, electron-vite, @electron-toolkit/tsconfig, dexie, @electron/notarize, slate-hyperscript, mermaid, remark-gfm, mobx-react-lite, electron, framer-motion, electron-builder, @types/react-dom, remark-parse, @types/node, sass, postcss, @types/react, mobx, dayjs, @types/mime-types"
strveJs_strve_package_json_history,0,4,,
wumke_react-native-immediate-phone-call_package_json_history,0,0,,
cferdinandi_reef_package_json_history,0,2,,
magicuidesign_magicui_package_json_history,52,39,"react, react-dom, postcss, autoprefixer, next",
dpa99c_react-native-launch-navigator_package_json_history,0,0,,
infinitered_ignite-andross_package_json_history,1,10,ramda,"standard, babel-eslint"
arielsalminen_vue-design-system_package_json_history,14,63,"vue-lodash, vue, vuex, lodash, vue-router","vue-template-compiler, css-loader, semver, webpack-merge, babel-loader, webpack, file-loader, chalk, copy-webpack-plugin, vue-loader, html-webpack-plugin, autoprefixer, shelljs, friendly-errors-webpack-plugin, optimize-css-assets-webpack-plugin, style-loader, vue-style-loader, http-proxy-middleware, node-sass, url-loader, ora, rimraf, portfinder, webpack-bundle-analyzer, sass-loader"
sunpietro_dragster_package_json_history,0,10,,
balmjs_balm-ui_package_json_history,4,45,,"balm, vue-loader"
hkxicor_uber-clone-react-native_package_json_history,7,4,"react, react-native","babel-preset-react-native, babel-jest, react-test-renderer, jest"
ReVanced_revanced-manager_package_json_history,0,6,,"semantic-release, @semantic-release/git, @semantic-release/changelog, @saithodev/semantic-release-backmerge"
DevCloudFE_react-devui_package_json_history,0,92,,
ixartz_SaaS-Boilerplate_package_json_history,33,67,"react, @radix-ui/react-label, @radix-ui/react-tooltip, @tanstack/react-table, pino-pretty, @spotlightjs/spotlight, @radix-ui/react-icons, next-intl, pino, clsx, react-dom, @radix-ui/react-slot, @sentry/nextjs, class-variance-authority, drizzle-orm, @radix-ui/react-dropdown-menu, @logtail/pino, @clerk/localizations, @radix-ui/react-accordion, @clerk/nextjs, @hookform/resolvers, sharp, react-hook-form, zod, @t3-oss/env-nextjs, lucide-react, next, tailwind-merge","@storybook/addon-links, eslint-plugin-testing-library, cross-env, eslint-plugin-react-hooks, storybook, @playwright/test, @semantic-release/git, cssnano, @storybook/test-runner, http-server, @commitlint/cli, @faker-js/faker, @commitlint/cz-commitlint, eslint, eslint-plugin-jsx-a11y, start-server-and-test, @storybook/react, typescript, tailwindcss, @storybook/blocks, @semantic-release/changelog, semantic-release, eslint-plugin-playwright, @storybook/addon-essentials, autoprefixer, @commitlint/config-conventional, @percy/playwright, @storybook/nextjs, eslint-plugin-jest-dom, commitizen, @storybook/addon-interactions, @storybook/test, npm-run-all, @types/node, @next/bundle-analyzer, drizzle-kit, @testing-library/react, postcss, rimraf, dotenv-cli, lint-staged, eslint-plugin-tailwindcss, @testing-library/jest-dom, @types/react, @percy/cli, eslint-plugin-simple-import-sort, husky"
Upstatement_react-router-guards_package_json_history,0,19,,"prettier, eslint-plugin-react, eslint, eslint-plugin-promise, eslint-plugin-jsx-a11y, babel-eslint, pretty-quick, lint-staged, @upstatement/eslint-config, eslint-config-prettier, husky, @upstatement/prettier-config"
vantezzen_auto-form_package_json_history,1,3,,typescript
akveo_nebular_package_json_history,23,57,,typescript
